"lang"
{
    "Language"          "italian"
    "Tokens"
    {
        "ServerBrowser_Title"                                   "Browser dei server"
        "ServerBrowser_Filter"                                  "Filtri"
        "ServerBrowser_All"                                     "<Tutti>"
        "ServerBrowser_World"                                   "Mondo"
        "ServerBrowser_US_East"                                 "USA - Est"
        "ServerBrowser_US_West"                                 "USA - Ovest"
        "ServerBrowser_SouthAmerica"                            "Sud America"
        "ServerBrowser_Europe"                                  "Europa"
        "ServerBrowser_Asia"                                    "Asia"
        "ServerBrowser_Australia"                               "Australia"
        "ServerBrowser_MiddleEast"                              "Medio Oriente"
        "ServerBrowser_Africa"                                  "Africa"
        "ServerBrowser_LessThan50"                              "< 50"
        "ServerBrowser_LessThan100"                             "< 100"
        "ServerBrowser_LessThan150"                             "< 150"
        "ServerBrowser_LessThan250"                             "< 250"
        "ServerBrowser_LessThan350"                             "< 350"
        "ServerBrowser_LessThan600"                             "< 600"
        "ServerBrowser_Connect"                                 "Connettiti"
        "ServerBrowser_Servers"                                 "Server"
        "ServerBrowser_Game"                                    "Gioco"
        "ServerBrowser_Version"                                 "Versione"
        "ServerBrowser_Players"                                 "Giocatori"
        "ServerBrowser_Map"                                     "Mappa"
        "ServerBrowser_Latency"                                 "Latenza"
        "ServerBrowser_ChangeFilters"                           "Modifica filtri"
        "ServerBrowser_HasUsersPlaying"                         "Con giocatori attivi"
        "ServerBrowser_ServerNotFull"                           "Server non pieno"
        "ServerBrowser_IsNotPasswordProtected"                  "Senza password"
        "ServerBrowser_ValidSteamAccount"                       "Richiede un account Steam"
        "ServerBrowser_Location"                                "Posizione"
        "ServerBrowser_PasswordRequired"                        "Questo server richiede una password per accedere."
        "ServerBrowser_ServerLabel"                             "Server:"
        "ServerBrowser_PasswordLabel"                           "Password"
        "ServerBrowser_Cancel"                                  "Annulla"
        "ServerBrowser_JoinGame"                                "Entra in partita"
        "ServerBrowser_Close"                                   "Chiudi"
        "ServerBrowser_AutoRetry"                               "Riconnessione automatica"
        "ServerBrowser_AlertMeWhenSlotOpens"                    "Avvisami quando si libera un posto sul server."
        "ServerBrowser_JoinWhenSlotOpens"                       "Entra nel server non appena si libera un posto."
        "ServerBrowser_GameLabel"                               "Gioco:"
        "ServerBrowser_IPAddressLabel"                          "Indirizzo IP:"
        "ServerBrowser_MapLabel"                                "Mappa:"
        "ServerBrowser_PlayersLabel"                            "Giocatori:"
        "ServerBrowser_LatencyLabel"                            "Latenza:"
        "ServerBrowser_EnterIPofServerToAdd"                    "Inserisci l'indirizzo IP del server da aggiungere."
        "ServerBrowser_OK"                                      "OK"
        "ServerBrowser_Examples"                                "Esempi:\ntfc.valvesoftware.com\ncounterstrike.speakeasy.net:27016\n205.158.143.200:27015"
        "ServerBrowser_AddServersTitle"                         "Aggiungi server"
        "ServerBrowser_AddServerErrorTitle"                     "Aggiungi server - Errore"
        "ServerBrowser_AddServerError"                          "L'indirizzo IP del server inserito non è valido."
        "ServerBrowser_ServerRequiresPasswordTitle"             "Password richiesta"
        "ServerBrowser_ServerRequiresPassword"                  "Questo server richiede una password per accedere."
        "ServerBrowser_RemoveServerFromFavorites"               "Rimuovi il server dai preferiti"
        "ServerBrowser_AddServerByIP"                           "Aggiungi server tramite IP"
        "ServerBrowser_UpdatingFavsTitle"                       "Aggiornamento Preferiti"
        "ServerBrowser_UpdatingFavs"                            "Trasferimento dei tuoi preferiti. L'operazione potrebbe richiedere un minuto..."
        "ServerBrowser_UnableToLoadFavsTitle"                   "Impossibile caricare i preferiti"
        "ServerBrowser_ErrorLoadingFile"                        "Errore durante il caricamento del file."
        "ServerBrowser_ErrorLoadingFileCorrupt"                 "Errore di caricamento. Il file potrebbe essere corrotto."
        "ServerBrowser_UnableToOpenDataFile"                    "Impossibile aprire il file dei dati."
        "ServerBrowser_GettingNewServerList"                    "Recupero della lista dei server..."
        "ServerBrowser_InternetTab"                             "Internet"
        "ServerBrowser_FavoritesTab"                            "Preferiti"
        "ServerBrowser_SpectateTab"                             "Spettatore"
        "ServerBrowser_LanTab"                                  "LAN"
        "ServerBrowser_FriendsTab"                              "Amici"
        "ServerBrowser_HistoryTab"                              "Cronologia"
        "ServerBrowser_GameInfoTitle"                           "Informazioni partita"
        "ServerBrowser_AddToFavorites"                          "Aggiungi ai preferiti"
        "ServerBrowser_GameInfoWithNameTitle"                   "Informazioni partita - %game%"
        "ServerBrowser_PressJoinToConnect"                      "Premi \"Entra in partita\" per connetterti al server."
        "ServerBrowser_JoinWhenSlotIsFree"                      "Entrerai nel server non appena si libererà un posto."
        "ServerBrowser_AlertWhenSlotIsFree"                     "Verrai avvisato quando si libererà un posto sul server."
        "ServerBrowser_CouldNotConnectServerFull"               "Impossibile connettersi: server pieno."
        "ServerBrowser_ServerNotResponding"                     "Il server non risponde."
        "ServerBrowser_RefreshingPercentDone"                   "Aggiornamento lista server... %s1% completato"
        "ServerBrowser_ServersResponding"                       "I server di gioco rispondono da %s1"
        "ServerBrowser_ServersRespondingLocal"                  "Server di gioco rilevati in locale"
        "ServerBrowser_RefreshingServerList"                    "Aggiornamento lista server..."
        "ServerBrowser_FilterDescLatency"                       "latenza"
        "ServerBrowser_FilterDescNotFull"                       "non pieno"
        "ServerBrowser_FilterDescNotEmpty"                      "non vuoto"
        "ServerBrowser_FilterDescNoPassword"                    "senza password"
        "ServerBrowser_FilterDescValidSteamAccount"             "con account Steam"
        "ServerBrowser_NoLanServers"                            "Nessun server rilevato sulla rete locale."
        "ServerBrowser_NoFavoriteServers"                       "Non hai ancora aggiunto alcun server ai preferiti."
        "ServerBrowser_NoFriendsServers"                        "Nessuno dei tuoi amici sta attualmente giocando."
        "ServerBrowser_NoInternetGames"                         "Non ci sono server online che corrispondono ai filtri attuali."
        "ServerBrowser_NoInternetGamesResponded"                "Nessun server online ha risposto alla richiesta."
        "ServerBrowser_MasterServerNotResponsive"               "Impossibile contattare il server master per recuperare la lista dei server."
        "ServerBrowser_MasterServerHasNoServersListed"          "Nessun server sul server master corrisponde ai filtri attuali."
        "ServerBrowser_Refresh"                                 "Aggiorna"
        "ServerBrowser_RefreshAll"                              "Aggiorna tutto"
        "ServerBrowser_RefreshQuick"                            "Aggiorna velocemente"
        "ServerBrowser_StopRefreshingList"                      "Interrompi aggiornamento"
        "ServerBrowser_AddServer"                               "Aggiungi un server"
        "ServerBrowser_AddCurrentServer"                        "Aggiungi server corrente"
        "ServerBrowser_PasswordColumn_Tooltip"                  "Password richiesta per accedere al server"
        "ServerBrowser_BotColumn_Tooltip"                       "Ci sono bot (CPU) su questo server"
        "ServerBrowser_ServersCount"                            "Server (%s1)"
        "ServerBrowser_UnableToQueryMasters"                    "Impossibile determinare gli indirizzi dei server master. Il browser dei server non funzionerà correttamente."
        "ServerBrowser_ESRBNotice"                              "Avviso ESRB: L'esperienza di gioco può cambiare durante il gioco online"
        "ServerBrowser_Password"                                "Password"
        "ServerBrowser_Bots"                                    "Bot"
        "ServerBrowser_Secure"                                  "Protetto"
        "ServerBrowser_IPAddress"                               "Indirizzo IP"
        "ServerBrowser_SecureColumn_Tooltip"                    "Server protetto dalla tecnologia Valve Anti-Cheat"
        "ServerBrowser_AntiCheat"                               "Anti-cheat"
        "ServerBrowser_SecureOnly"                              "Protetto"
        "ServerBrowser_InsecureOnly"                            "Non protetto"
        "ServerBrowser_FilterDescSecureOnly"                    "protetto"
        "ServerBrowser_FilterDescInsecureOnly"                  "non protetto"
        "ServerBrowser_NoServersPlayed"                         "Non hai giocato su nessun server di recente."
        "ServerBrowser_RemoveServerFromHistory"                 "Rimuovi il server dalla cronologia"
        "ServerBrowser_LastPlayed"                              "Ultima partita"
        "ServerBrowser_OfflineMode"                             "Steam è attualmente in Modalità Offline. I server online non saranno disponibili finché non riavvierai\nSteam con una connessione a Internet."
        "ServerBrowser_ConnectToServer"                         "Connettiti al server"
        "ServerBrowser_ViewServerInfo"                          "Info sul server"
        "ServerBrowser_RefreshServer"                           "Aggiorna server"
        "ServerBrowser_AddServerToFavorites"                    "Aggiungi il server ai preferiti"
        "ServerBrowser_NotResponding"                           "<non risponde>"
        "ServerBrowser_FiltersActive"                           "Filtri attivi"
        "ServerBrowser_ServerOutOfDate"                         "Il server non è aggiornato.."
        "ServerBrowser_ClientOutOfDate"                         "La tua versione non corrisponde a quella del server.\nRiavvia il gioco."
        "ServerBrowser_PlayerName"                              "Nome giocatore"
        "ServerBrowser_Score"                                   "Punteggio"
        "ServerBrowser_Time"                                    "Tempo"
        "ServerBrowser_ServerName"                              "Nome:"
        "ServerBrowser_ValveAntiCheat"                          "Valve Anti-Cheat:"
        "ServerBrowser_NotSecure"                               "Non protetto"
